Horizon,Feature,Importance
12m,FWD 12m,46.427124
12m,FWD Slope,25.993616
12m,Brent FWD Slope,16.098557
12m,Spread (FP - SSB),10.469781
12m,Month_01,1.0109218
12m,Smolt Release 18m Monthly,0.0
12m,CPI NO Monthly,0.0
12m,∆ EURNOK 12m,0.0
12m,∆ EURNOK 6m,0.0
12m,∆ EURNOK 3m,0.0
12m,∆ EURNOK 1m,0.0
12m,∆ EURNOK 2w,0.0
12m,∆ EURNOK 1w,0.0
12m,∆ EURNOK,0.0
12m,Smolt Release 16m Monthly,0.0
12m,Smolt Release 17m Monthly,0.0
12m,∆ Shrimp Price (Global) 1m Monthly,0.0
12m,Smolt Release 15m Monthly,0.0
12m,Smolt Release 14m Monthly,0.0
12m,Smolt Release 13m Monthly,0.0
12m,Smolt Release 12m Monthly,0.0
12m,Smolt Release 11m Monthly,0.0
12m,Smolt Release 10m Monthly,0.0
12m,NIBOR 3m,0.0
12m,∆ Shrimp Price (Global) 6m Monthly,0.0
12m,∆ Shrimp Price (Global) 3m Monthly,0.0
12m,Month_02,0.0
12m,Month_10,0.0
12m,Month_09,0.0
12m,Month_08,0.0
12m,Month_07,0.0
12m,Month_06,0.0
12m,Month_05,0.0
12m,Month_04,0.0
12m,Month_03,0.0
12m,Soybean FWD Curvature,0.0
12m,Smolt Release 8m Monthly,0.0
12m,Soybean FWD Slope,0.0
12m,Brent FWD Curvature,0.0
12m,∆ Fishmeal 12m Monthly,0.0
12m,∆ Fishmeal 6m Monthly,0.0
12m,∆ Fishmeal 3m Monthly,0.0
12m,∆ Fishmeal 1m Monthly,0.0
12m,Meat CPI (EU) Monthly,0.0
12m,∆ Shrimp Price (Global) 12m Monthly,0.0
12m,Smolt Release 9m Monthly,0.0
12m,Smolt Release 5m Monthly,0.0
12m,Smolt Release 7m Monthly,0.0
12m,RVol 13w,0.0
12m,∆ FWD 6m,0.0
12m,FWD 6m,0.0
12m,∆ FWD 3m,0.0
12m,FWD 3m,0.0
12m,∆ FWD 1m,0.0
12m,FWD 1m,0.0
12m,∆ Spread (FP - SSB),0.0
12m,RVol 52w,0.0
12m,RVol 4w,0.0
12m,Smolt Release 6m Monthly,0.0
12m,Acc 1m,0.0
12m,Acc 1w,0.0
12m,∆ Salmon (NOK/KG) 12m,0.0
12m,∆ Salmon (NOK/KG) 6m,0.0
12m,∆ Salmon (NOK/KG) 3m,0.0
12m,∆ Salmon (NOK/KG) 1m,0.0
12m,∆ Salmon (NOK/KG) 2w,0.0
12m,∆ Salmon (NOK/KG) 1w,0.0
12m,∆ FWD 12m,0.0
12m,FWD Curvature,0.0
12m,∆ Export Volume 1w,0.0
12m,∆ Export Volume 2w,0.0
12m,Smolt Release 4m Monthly,0.0
12m,Smolt Release 3m Monthly,0.0
12m,Smolt Release 2m Monthly,0.0
12m,Loss Rate 6m Monthly,0.0
12m,Loss Rate 3m Monthly,0.0
12m,Loss Rate 1m Monthly,0.0
12m,Harvest Intensity 3m Monthly,0.0
12m,Harvest Intensity 1m Monthly,0.0
12m,YOY Avg Weight (KG) Monthly,0.0
12m,Avg Weight (KG) Monthly,0.0
12m,∆YOY Total Biomass Monthly,0.0
12m,∆ Total Biomass Monthly,0.0
12m,∆ Chilean Exports 3m,0.0
12m,∆ Chilean Exports 1m,0.0
12m,∆ Chilean Exports 2w,0.0
12m,∆ Chilean Exports 1w,0.0
12m,∆ Export Volume 1m,0.0
12m,Month_11,0.0
