Horizon,Fold,Feature,Importance
2w,1,Month_01,100.0
2w,1,∆ Salmon (NOK/KG) 1w,0.0
2w,1,∆ Salmon (NOK/KG) 2w,0.0
2w,1,∆ Salmon (NOK/KG) 1m,0.0
2w,1,∆ Salmon (NOK/KG) 3m,0.0
2w,1,∆ Salmon (NOK/KG) 6m,0.0
2w,1,∆ Salmon (NOK/KG) 12m,0.0
2w,1,Acc 1w,0.0
2w,1,Acc 1m,0.0
2w,1,RVol 4w,0.0
2w,1,RVol 13w,0.0
2w,1,RVol 52w,0.0
2w,1,Spread (FP - SSB),0.0
2w,1,∆ Spread (FP - SSB),0.0
2w,1,FWD 1m,0.0
2w,1,∆ FWD 1m,0.0
2w,1,FWD 3m,0.0
2w,1,∆ FWD 3m,0.0
2w,1,FWD 6m,0.0
2w,1,∆ FWD 6m,0.0
2w,1,FWD 12m,0.0
2w,1,∆ FWD 12m,0.0
2w,1,FWD Slope,0.0
2w,1,FWD Curvature,0.0
2w,1,∆ Export Volume 1w,0.0
2w,1,∆ Export Volume 2w,0.0
2w,1,∆ Export Volume 1m,0.0
2w,1,∆ Chilean Exports 1w,0.0
2w,1,∆ Chilean Exports 2w,0.0
2w,1,∆ Chilean Exports 1m,0.0
2w,1,∆ Chilean Exports 3m,0.0
2w,1,∆ Total Biomass Monthly,0.0
2w,1,∆YOY Total Biomass Monthly,0.0
2w,1,Avg Weight (KG) Monthly,0.0
2w,1,YOY Avg Weight (KG) Monthly,0.0
2w,1,Harvest Intensity 1m Monthly,0.0
2w,1,Harvest Intensity 3m Monthly,0.0
2w,1,Loss Rate 1m Monthly,0.0
2w,1,Loss Rate 3m Monthly,0.0
2w,1,Loss Rate 6m Monthly,0.0
2w,1,Smolt Release 2m Monthly,0.0
2w,1,Smolt Release 3m Monthly,0.0
2w,1,Smolt Release 4m Monthly,0.0
2w,1,Smolt Release 5m Monthly,0.0
2w,1,Smolt Release 6m Monthly,0.0
2w,1,Smolt Release 7m Monthly,0.0
2w,1,Smolt Release 8m Monthly,0.0
2w,1,Smolt Release 9m Monthly,0.0
2w,1,Smolt Release 10m Monthly,0.0
2w,1,Smolt Release 11m Monthly,0.0
2w,1,Smolt Release 12m Monthly,0.0
2w,1,Smolt Release 13m Monthly,0.0
2w,1,Smolt Release 14m Monthly,0.0
2w,1,Smolt Release 15m Monthly,0.0
2w,1,Smolt Release 16m Monthly,0.0
2w,1,Smolt Release 17m Monthly,0.0
2w,1,Smolt Release 18m Monthly,0.0
2w,1,ISA Outbreak,0.0
2w,1,ISA Outbreak 1m,0.0
2w,1,ISA Outbreak 3m,0.0
2w,1,Lice Outbreak,0.0
2w,1,Lice Outbreak 1m,0.0
2w,1,Lice Outbreak 3m,0.0
2w,1,Sea Temp,0.0
2w,1,Sea Temp 12m Avg,0.0
2w,1,∆ EURNOK,0.0
2w,1,∆ EURNOK 1w,0.0
2w,1,∆ EURNOK 2w,0.0
2w,1,∆ EURNOK 1m,0.0
2w,1,∆ EURNOK 3m,0.0
2w,1,∆ EURNOK 6m,0.0
2w,1,∆ EURNOK 12m,0.0
2w,1,CPI NO Monthly,0.0
2w,1,NIBOR 3m,0.0
2w,1,∆ Shrimp Price (Global) 1m Monthly,0.0
2w,1,∆ Shrimp Price (Global) 3m Monthly,0.0
2w,1,∆ Shrimp Price (Global) 6m Monthly,0.0
2w,1,∆ Shrimp Price (Global) 12m Monthly,0.0
2w,1,∆ Broiler Price (EU) 1w,0.0
2w,1,∆ Broiler Price (EU) 2w,0.0
